location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
תחנה:ניידת6,צפון הנגב,IL,2018-04-06T10:00:00.000Z,2018-04-06T13:00:00+03:00,co,2.4,ppm,31.24897,35.21597,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T00:30:00.000Z,2018-04-06T03:30:00+03:00,o3,0.0289,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T01:30:00.000Z,2018-04-06T04:30:00+03:00,so2,0.0012,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T01:30:00.000Z,2018-04-06T04:30:00+03:00,no2,0.009300000000000001,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T01:15:00.000Z,2018-04-06T04:15:00+03:00,o3,0.028399999999999998,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T01:00:00.000Z,2018-04-06T04:00:00+03:00,o3,0.0285,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T00:30:00.000Z,2018-04-06T03:30:00+03:00,so2,0.0013,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T02:15:00.000Z,2018-04-06T05:15:00+03:00,o3,0.031100000000000003,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T02:15:00.000Z,2018-04-06T05:15:00+03:00,so2,0.0012,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T02:15:00.000Z,2018-04-06T05:15:00+03:00,no2,0.009800000000000001,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T03:30:00.000Z,2018-04-06T06:30:00+03:00,so2,0.0011,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T02:00:00.000Z,2018-04-06T05:00:00+03:00,o3,0.030199999999999998,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
